text,E,N,A,C,O
سن كنت طفلة مؤذبة مطيعة مرحة العب كثيرابعدها بدات اميل شيئا فشيئا للرسم مطالعة الروايات الادبية الشعر العربي الموسوعات الفكرية العلمية تهتم بالاحفوريات الحضارات البائدة الفلك مرحلة حياتي الدراسية كانت مميزة جدا مثيرة لدرجة كبيرة مليئة بالخبرات التجارب الجديدة زادها متعة بهجة جود اصدقاء مرحين محبوبين الثانوية تخصصت العلوم الرياضية الجامعة درست بداية العلوم الرياضية الفزيائية الاعلاميات سلك الماستر تخصصت علوم الكمبيوتر معالجة الصور حاليا اتابع دراستي سلك الدكتوراه احاول خلالها تطوير برنامج الكتروني يساعد الكشف المبكر سرطان الثدي خلال التصوير الاشعاعي انني موظفة جامعة سيدي محمد بن عبد الله متزوجة لطفل الساعة بفضل الله عز جل بمساعدة ابوي اخوتي ححقت الكثير الاهداف المرحلية كنت اطمح لتحقيقها فاطمح الى اكمال رسالة الدكتراه العمل كباحثة الفلك حياتي الدراسية تخللتها العديد الانشطة الموازية كالانخراط العمل مؤسسات جمعوية حقوقية سياسة بدا الجمعيات تهتم بالطفولة مرورا بالجمعيات تهتم بالمراة الاسرة العمل النقابي الحزبي صغري غنيت فرقة موسيقية للاطفال سن الثامنة المرحلة الاعدادية عمل كمساعدة خياطة للملابس التقليدية العصرية بائعة للملابس الجاهزة كمبرمج للمواقع الالكترونية عملت كمدرسة حصص الدعم لمادة الرياضيات المستوى الاعدادي الجامعي كمدرسة مؤقتة لمادة الاعلامية كلية الاداب ضهر المهراز,1,0,0,1,1
خلال حياتي مررت بالكثير خيبات الامل ايضا الكثير النجاح زوجة محبة اطفال كبار طريقهم الى النجاح شاء الله تقدم العمر تراكم الخبرات وصلت الى مرحلة اشعر بمزيد السعادة الرضا ضعي الرغم انني اقول دائما لنفسي القليل الكسل الكثير الجدية كنت ساكون افضل لكني اعتقد الكثير المكابح النفسية اوقفتني منعتني فرض ارادتي بلدنا مجتمعنا المكابح تنبع التربية الاسرية كانت لدي القيود الاجتماعية فرضت علي كطفل كشاب ساهمت عدم تطوير مهاراتي مجالات اخرى السياسة الفن اشكر الله انني انحرف لان الطفل الظروف عشت يمكن يدمر حياته بسهولة,0,0,1,1,1
بسم الله الرحمن الرحيم انسان وجه الارض تجربة حياته فمثلا عندما انتهيت الدراسة اتجهت الى ميدان العمل فاعليات اشياءا اخرى منحتني تجربة مهمة فهم الحياة بصفة فالحياة العملية تختلف الحياة الدراسية,1,0,1,1,1
يكون طول الاسبوع ايام رغم اصل فلكي لهذه المدة اعتقاد بان تقسيم الاسبوع الى ايام مرتبط بامر الدين ماخوذ تعلق باخباره احكامه قال شيخ الاسلام ابن تيمية فكل امة كتاب لغتها ايام الاسبوع انما يوجد لغتها اسم اليوم الشهر السنة لان عرف بالحس العقل فوضعت الامم الاسماء لان التعبير يتبع التصور الاسبوع فلم يعرف بالسمع يعرف الله خلق السموات الارض بينهما ايام استوى العرش باخبار الانبياء يجتمعوا الاسبوع يوما يعبدون الله,0,1,0,1,0
يمر اليوم اشعر بعياء كبىر الحصيلة بلجيدة لاننا مظطرين للقيام بعمل الاخرين لنكمل عملنا نفص الاخلاص العمل ىغمل نقص المبادرة عالم كتر فيد الكدب الوصول,1,0,1,1,0
بخصوص العمل اعمل عملا روتينيا منفعة المجتمع يندج ضمن الطموحات طمحت بخصوص الدراسة لدي تصور جازم حول الدراسة فاس لدي تصورات حول سكان فاس,0,1,1,1,1
بد تغيير شامل للتعليم الجامعي بالتعليم بصفة باعتماد الانجليزية الفرنسية للانفتاح الالم الانغلاق فرنسا بربط التلميذ الطالب بمجتمعه عبر اللغة التاريخ يتم استقطابه تسخيره خارج بلاده بتسخير التعليم البحث لحل المشاكل داخل المجتمع الادارة المصانع المزارع,0,0,0,1,1
اشعر بالتشويش الفشل ابذل جهدا جبارا مقابل القليل الاحترام القليل تقدير الاخرين نفسي عيون الاخرين اريد اتحرر الاخر اصبح بكل عيوبس ينصني اتمنى احصل بقدر اجتهد راسي مليء بالكثير الافكار سلبية ماشي احلام حسرة استطيع النوم بهدوء اصبح الارق روتيني,0,1,0,0,0
اشعر حماسي منتظما احتاج عادة لتغذيته عموما افصل شعوري معاملتي للاشخاص المحيطين الدراسة العمل التصرف يزيد الضغط يدفعني للعزلة,1,1,0,0,0
تجربتي الدراسية كانت تجربة جميلة رغم انها اترث نفسيتي حيت اصبحت عصبية بسبب معاناتي المادية جهة النفسية لانني اتاثر بسهولة ادرس بجد بالنسبة للعمل لازلت جديدة احس بالخوف المسؤولية اخاف اشعر بالخجل المسؤولين رفقائي العمل لانني افتقد للخبرة اعطي لنفسي قيمة اعرف انني خاطئة السير النهج اتمنى تتغير شخصيتي اصبح قوية,0,1,0,0,0
سانطلق تجربتي دراسة التكوين كانت سببا تغيير المكان الحياة الاسرية خلال فترة التدريس تم تغيير الافكار المغلوطة فالمزيد العلم الدراسة يشعرك انك تكن بعدة امور الممكن كانت الافكار خاطئة اساس لهذا الجانب التعبدي نجد الله سبحانه يعبد بعلم بجهل ينير طريقك يبين الدرب الصحيح يجب السير طبعا لان العلماء المدرسين اكفاء نبع العطاء للعلم العلم الموصل الى طاعة الواحد الاحد فهم اختيار الرحمان نساله سبحانه ينفعنا بعلمهم ينفع بهمفالواجب الكد الوصول الى مرتبة العلماء المذكورون الممدحون القران السنةومن رام العلا كد اضاع العمر طلب المحال,1,0,1,0,0
الدراسة تجعلني احس بالمسؤولية تبعدني الروتين تجعلني نشيطة عندما تزداد معلوماتي اتعلم اشياء جديدة تساعدني اصبح عملية فعالة مجتمعي محيطي تغذي افكاري تنعشها فانا الوقت احضر مستقبلي اتعلم اكون اجتماعية اخرج عزلتي انطوائي,0,0,0,0,0
كانت تجربة مهمة جدا حياتي انني تعلمت الكثير دروس الحياة المعرفة اكتسبتها يخص مجال الاقتصاد التسويق وجه الخصوص ساعدني وضع حجر الاساس للطريق رسمته لنفسي,1,1,1,0,1
لقد بدات الدراسة المعهد اسبوع لكنني لازلت متوترة بسبب الدراسة لانني كنت رخصة فاتني الكثير الدروس استطع استدرك فاتني الدروس لكثرتها ضيق وقت الفراغ كثرة انشغالي لهذا احس بالاحباط العياء اتمناه استدرك فاتني لارتاح,0,0,0,1,1
الجامعة تخيلتها الحياة الوردية رسمتها ذهني عندما كنت الثانوية يقل التاقلم العام الاول صعب لهذه الدرجة مواد الجامعة تشعرنا بالغباء بالرغم اننا كنا المتفوقين,0,0,0,0,1
تجربتي الجامعه افضل التجارب مررت فقد فهمت اشياء كثيرة الحياة فالحياة قبلها كانت ناضجه كنت صغير بافكار صغيرة لاكن اصبح تفكيري مختلف فانا ادرس الهندسة اري نفسي المستقبل اكثر الشخصيات تاثيرا المجال لحبي اريد افيد الجميع بخبرتي المجال,1,1,0,0,1
درست لمدة سنوات جامعات مختلفة تعلمت الكثير رغم انها كانت صعبة لحد خصوصا السنوات الثلاثة الاخيرة انجز بحثا متعلقا بالرياضيات التطبيقية لكنها تبقى تجربة مهمة حياتي لاني عشتها خارج وطني استفدت الكثير سواء المستوى الدراسي المستوى الاجتماعي,0,1,1,1,0
تهيج نفسي بالحنين لعدة ذكريات ماضية الاثر الطيب حياتي ابالغ قلت الاثر امتد لتشكيل هويتي اليوم رايي استقر اخيرا وصف مشاعري ازاء تامل الكون بسمائه صعيده بشكل مقتضب التجربة تعتبر الى اليوم بمثابة المنفذ البث اعود اليه تشت افكاري ارتبكت نفسي حزبتني الامور فاجدني اثر ممارستها منشرحة الصدر مغتبطة الفؤاد استعدت نشاطي جددت نفسي لمواجهة الحياة غرار الاحساس يغمرني حال اداء شعيرة الصلاة لله السرور يكتسح قلبي السكينة تغمره يتمخض تامل ملكوت الله موجودا ضم تفاصيله اثار قدرة الخالق بديع صنعه بهاء خلقهاثار دلائل الخالق شيء خلقه هدى الروح الانسانية فرع كلمة الله امره تملك ازاء الجمال الابداع تستسلم متاملة متعبدة معتبرة فتسكن اضطراب فزع يلملم شعثها جديد عادت لمصدرها اصلها,0,1,1,0,0
شخص شغوف محب للحياة محب للمساعدة التعاون الاخر الاشياء جانبها الايجابي يمنع الوقوف الامر الواقع تطلب الامر حزما لمعالجة مشكلة الخروج رطة بحيث احاول تهدات نفسي امكن فبدون الهدوء اجدني منطقيا التفكيرا نجاعة مواجهة المصاعب,0,1,1,0,1
حياة غريبة باختلاف الطباع تغير الشخصيات كتغير الحرباء اصبحنا نعيش ازمة ثقة لمن يملك قلبا طيبا صاف نقي محب للخير محب للجميع يعيش سط الفوضى الحل ترى عسانا نفعل انكمل المسير نتقبل الواقع نقوم بالتغلب الطبع فننجرف ذوي القلوب الخبيثة القاسية محموعة تساؤلات نهاية يضج عقلي يشعر قلبي اجد جواب يشفي غليل محرك دماغي,0,0,1,0,0
احس بالقليل التعب اسبوع حافل الوقت راضية سير الامور تيرة انهائي لكل النقط لائحة المهام لهذا الاسبوع الجو المشمس ايضا يساعدني الحفاظ احساس ايجابي متفائل العموم العكس الجو الغائم سائدا الايام السابقة,0,0,0,1,1
الجامعة اعطتني فرصة الانفتاح افكار جديدة اعطاء فرصة لنفسي للتعرف عليها دائما اشعر انني اعيش حيوات مختلفة فانا جد متحفظة حول افكاري حياتي الشخصية القسم لانهم يسعون دائما الى تصنيف الناس الى فئات انتمي الى فئة فقط بالطريقة العيش بينهم يدفعني الى الاحساس بالاضطراب يعطيني الرغبة تمضية الوقت بالجامعة اتعب نفسيا,1,1,0,1,1
اظن اني شخص لديه طموح كبير ارغب اشياء السهل بلوغها اشياء مادية بالضرورة معنوية قيمية اراني احيانا اناقض نفسي احمل الناس احتمله بنفسي اراني احيانا منسجما نفسي اعرفها تعرفني,1,0,0,1,1
بد الصبر المتابرة العمل الجاد لنيل الاماني الاقوال تعجبني اعمل اتعب قدماك تعبتا قدماك مناحي حياتي توجد صخور حواجز صفة ادمية تمنع تحقيق المراد بدءا بالعمل المليء باعداء النجاح المتبطين امتالهم تعر اهتمامك امض قدما قل سلام عليكم,1,0,1,1,1
تمر ايامي رتيبة جديد لحظة تنقلب الموازين اجدني الاختبار حائرا تائها جديدين متناقضين يفتح منعطفا جديدا مخالفا تماما للاخر تمر ليالي الحيرة تضيع الفرصة الفرصتان لاعود الى رتابتي تعرفني اعرفها,0,1,0,0,0
الدراسة الجامعة اية مؤسسة اخرى الهدف فقط الحصول الشهادة الحصول الوظيفة انما الهدف الدراسة محاربة الجهل بماهية الحياة اندماج داخل المجتمع معرفة شيء يسعى الى اسعاد الناس تكوين الشخصية الفعالة المجتمع,0,0,0,0,0
اعيش يوم امل يكون اثر طيب مماتي اعيش بالامتنان الى الله تعالى ممتنة لانني بصحة عافية متنة لانني جعت وجدت طعاما تعبت نمت براحة ممتنة لاني مؤمنة اصلي لله الجا لله ممتنة لمستوى الذكاء هبني اياه الله ممتنة لان لدي ييسر حياتي,0,1,1,0,0
يستطيع الانسان تقييم ذاته نسبيا عبر اخضاعها للمساءلة الطريقة تمت الاستمارة واحدة العوامل المساعدة الامر يتجاوز حد النسبية باي حال الاحوال ففي الوقت يجد نفسه قادرا وضع نفسه خانات محددة المعنى الصفة تاتيه خواطر مواقف تجعله يدرك بانه نفسه كائن تتغير ردود افعاله مواقفه بحسب الحالة يجد نفسه امامها فقد يتذبذب نهاية المطاف الوسط تكون اجابته شديدة الدلالة يؤثر الاختيار فيترك الامر مفتوحا لتقدير الحالة العامة شكرا بالتوفيق,1,0,0,1,0
تجربتي مجال الدراسة كانت مثيرة بحيث مررت محطات مكنتني اكتساب قوة فهم الحياة بابسهلة دخولي لمجال العمل تبين تلملك الجراة الكافية اليقين بان الله قادر يعينك توكلت فلن تنجح,1,1,0,1,0
احب الدراسة امل احلامي تتحقق المستوى الدراسي استسلم ساقاوم ساجتهد الى اصل الى هدفي صعوبات كثيرة ساتجاوزها ساصل سيتحقق هدفي بمشيئة الله الايام جميلة الوقت يسرق احلامي اخققها رغم الصعاب,0,0,1,0,0
الدراسة بالجامعة تجربة رائعة رغم الضغوطات تمر خلال فترة الدراسة المقابل تتعلم الكثير الدروس كالاعتماد النفس التعامل شخصيات مختلفة الشجاعة الثقة النفس عدم الثقة الكلية الاخرينواخيرا العمل الامل,0,1,1,0,0
حلمي الوصول الى هدف معين المجال الدراسي اتوفق الى تحقيق الحلم كله لاسباب اسرية حققت جزءا اتمنى اغلب الظروف اصل الى الهدف المنشود عموما سعيدة الى وصلت اليه الى حد بفضل الله جوده كرمه,1,1,0,1,0
الحمدلله دراستي بجامعة العلوم التقنيات لعا وقع خاص شخصيتي حاليا بفضل المولى اولا تقديري لنفسي اكتسبت مهارات المستوى التقني الشخصي يميزاني بعملي مهارات اكتسبناها تاهلنا للتالق بعملنا المثابرة,1,0,0,1,0
لطالما كنت اردد البيت الشعري لصاحبه ابو البقاء الرندي لكل شئ تم نقصان يغر بطيب العيش انسان كنت اتفهمها اتقبل نكسات الناس اتفهم اتوقع يوما تكون صعبة صاحبها الى جاء اليوم اصبت بعته الانتكاسة انها صعبة تكون القمة تنزلق السفح,0,1,1,1,0
تطلعاتي الحياة جد مرتفعة لكنني اعمل تحقيقها حاجة ماسة لبيئة محيط يدعمني يعنيني الخروج منطقة الراحة لانني امتلك كافة مقومات النجاح ينبغي احدد اهدافي بدقة اسعى لتحقيقها فق محدد بدل الاستمرار التسويف التاجيل,0,0,1,0,0
شخص متفاءل بالحياة موقن بحضور الله سماعه مكان زمان اجتزت صعابا تكون الاسوء بالمقارنة بالاخرين جعلتني اكبر اتطور اكتشف ذاتي قادرة فعله تجاوز مكتسبات خاطئة ناتجة محيطي الضيق راضية مساري اشعر بالتفاؤل الحب لاتمام الحياة عائلتي راجية هدى الله للتطور الوصول بنفسي الى ارقى نسخة المستويات نافعة اسرتي ديني مجتمعي,0,0,1,0,0
قدر الله جعلني اعمل ميدان متعب رؤية السعادة وجوه الاطفال يجعلني سعيدة حبهم تجمعهم علي كاني املك الدنيا بيدي تدريس اطفال ضعية اعاقة شئ صعب المستويات عندما ترى النتائج تقدمه فتلك سعادة مافوقها سعادة,1,0,1,0,0
الايام احس بنفسي مبعثر مهام معلقة وفاة قريب حديثة فاجدني اتوقف لاتكلم نفسي بعبارات عميقة الحياة كاني احتاج الى فترة التعمق التحليل الحياة شرط اعود فاجد محيطي مرتب يفتح المجال لبداية جديدة نوعا,0,0,0,0,0
الحياة كتجربة كتابة تعشها المخاض ينتظرك سينتهي الى ولادة جديدة اعيش حياة ثانية لاخترت الطريق لسرت مررت حزن فات التفاتة تروم تحصيل شفقة ظرف,1,0,0,1,1
مسيرتي الدراسية تكن موفقة كنت احلم اعرف تقصيرا مني عدم دعمي نفسيا لمعرفة ميولاتي الدراسية يدفعني لتفكير اتحمل المسؤولية الكاملة ادري مجال تخصصي,1,1,0,1,1
عادة اكون هادئا لكني سريع الغضب سهل الاستفزاز امر يجب تغييره التدريس الجامعي كلية الحقوق يفرض التحلي باقصى درجات ضبط النفس الكثير الصبر,1,1,1,0,1
الصعب الحديث شيء محدد يتعلق بتجربتي الجامعية اعتقد انها كانت مفيدة الى حد الممكن تكون الفائدة اكبر علينا الاعتراف جامعتنا تتوفر تقاليد تؤهلها لتلعب ادوارا اهم ازاء طلبتها المجتمع اتمنى التوفيق تحياتي,0,1,0,0,1
تكون التجربة الحالة تطغى خاطري عقلي تجربة الجامعة اذ انها المكان المقدس نفسي يدعوني ركن اركانه الى هيبة العلم الاستسلام التام اذكر تفاصيل دقيقة تكون عابرة الاخرين لكنها عندي انشودة نقشت ابياتها قلبي نقشا اصيلا صارت الماضي الحلم الحياة اتمنى العودة اليها,1,0,1,1,1
الدراسة بالجامعة العامل الاساسي تحرير النفس قيود العزلة الخجل الى الانفتاح الدراسة بالجامعة مجال للابداع التحصيل العلمي الجيد باعتبارها مجال للبحث السعي الاكتشاف,0,0,1,1,0
رغم خيبة الامل الكبيرة تجربتي الدراسية خصوصا اثناء تحضير الدكتوراه انني اندم اتخاد الخطوة بسبب تاثيرها المباشر المباشر ايضا تغيير نمط تفكيري طريقة نظري للعالم زالت تتطور تتغير انتظار مستقبل افضل اسعد,0,1,0,0,1
الخوف المسقبل بكثرة التخمينات الشعوربالتقصيرفي المسؤلية اتجاه دور الفاعل الاجتماعي البحث العلمي النضال المستوى المهني حمل الاخرين المشاركة حل مشاكلهم خصوصا المقربين مني بااضافة الى ربط سعادتي بالاخرين حب التفوق الطموح الى الشخصية المثالية الخوف الاخفاق التجارب,1,1,0,0,1
تثير اهتمامي المواضيع المتعلقة بعلوم التربية فهم الذات فن التعامل الاخرين الشغف دفعني الى اعادة التسجيل بالكلية لدراسة النفس التخصص مستقبلا التجربة شكلت منعطفا خاصا انعكست ثاره ايجابا حياتي الشخصية العملية الاسرية غمرتني السعادة ادرس احب استمتعت بكل جديد استطيع خلاله افهم نفسي حولي اكثر فاكثر اصبحت اكثر تفهما لاحتياجات ابني تلامذتي لخصوصيات المرحلة يمرون اكثر معرفة بانماط الشخصيات السوية السوية اكثر ادراكا لدوافع السلوكات تصدر الاخرين,0,0,1,0,0
العمل سعيدة احسست مزاجي سيئا اسارع الي معانقة امواج البحر الكتابة قراءة يسليني الخروج نزهة صديقتي لتجديد طاقتي الحياة حلوة تستحق تعاش بحب فلماذا نسمح للاحزان باقتحام عالمنا الجميل,1,0,1,1,1
لقد تاكدت لدي فكرة الحياة قاعة امتحان كبيرة يجتاز الناس جميعا اختبارات مستمرة متوالية اشعر بانني اشتغل المواد ينبغي البعض الاخر ربما اكون توفقت اكثر الاشواط الاخيرة الامتحان ارجو تكون اعمالي الختامية افضل بكثير اعمالي الماضية ادري ينتهي الامتحان بالنسبة الي تجمع صحائفي تصحح تعرض علي النتيجة اشعر بان رحلة حياتي كانت قصيرة جدا لكنها حاسمة تقرير مصيري الحياة الابدية تنتظرني بالرغم تقصيري اداء الامتحان فانني مطمئن الى رحمة الله عز جل كوني عشت اشرك حدته احسست دائما برعايته حكمته الازمات مرت لذا يتخلى عني يوم الحساب,0,0,1,1,1
تجربتي الجامعية كانت اروع اجمل تجربة مررت لحد كانت تجربة رائعة بكل مقايسها الحلوة المرة كانت تاثير كبير شخصيتي مسيرتى ايضا محيطي بحيث اكتسبت العديد الافكار الجميلة المختلفة غيرة نظرتي الكثير الاشيء مكنتني معرفة يريده شخصي يجعلني راضية سعيدة مكنتني التعرف اشخاص بصمو جودهم حياتي,1,0,1,0,0
الاسبوع حافلا بالمتحانات اتمكن اجتيازها تصورت فاصبت بخيبت امل احباط جعلني احزن لطالما تجاوزت الحزن اعقاد العزيمة اراد جديدتن التحصيل الامتحانات القادمة,1,0,0,0,0
تجربتي الجامعة كانت جيدة الكثير الاحلام العمل المثابرة طورت جانبا شخصيتي المستقلة الواعية بداتها طموحاتها العمل جربت الكثير الاماكن الاعمال احب الروثين اسعى دائما لتعلم الجديد التمكن اقوم اسبوع مليئ بالاحداث خضم تغيير المستوى الشخصي,0,0,0,0,1
خلال فترة الدراسة تعلمت اكون انسانة اجتماعية منفتحة الكل بالمشاركة الحملات التطوعية الاعمال الخيرية نظرا تمنحني طمانينة البال راحة نفسية تبعدني ضغوطات الدراسة اتسمت بصعوبتها تبقى احسن الفترات حياتي ابتعدت اهلي ابتدات اتحمل مسؤوليات اكبر اتعرف نفسي اكثر اتعرف قدراتي مخاوفي كونت صداقات جديدة تعلمت الصبر كنت عصبية نقية القلب يعني مافي قلبي علي لساني عصبيتي كانت مبررة فراغ احب النفاق احب اتقن عمل كلت ملتزمة بمبدا رحم الله عمل عملا فاتقنه فشخصيتي عليها اليوم تكونت الفترة,0,1,1,1,0
اشعر بالملل بسرعة اسعى دائما للبحث التعلم الجديد الابداع التخيل افضل الاوقات اقضيها عالمي الخاص اتعلم ابدع احسنها استطيع ابلغ تعلمته للاخرين لكني فوضوي اشعر احيانا بعدم القدرة مواجهة الضغوط,0,1,0,0,1
العمل هواية يجب نستمتع الاسرة عبارة مجموعة اشخاص مفروضين علينا لديهم احتمالية اكبر لان يكونوا شبهنا المهاجر طائر يسمح بمزج الجينات الثقافات العلوم بدونه يكون الجنس البشري خطر الانقراض احب القراءة الدراسة لدرجة انني جعلتها مهنتي عملي اتمكن القول انني اعرف لانني اكتشف خطوة انها معرفة قليلة جدا كنت تعرف لماذا ضعنا نقطة نقطتين نقاط الحروف فكيف تسمح لنفسك تقول انك تعرف اللغة العربي,1,0,1,1,1
بحكم صغر سني اريد تحقيق عدة اشياء المستوى الدراسي المهني المستوى الشخصي يضعون الخطط احب تقرير الاشياء قتها الرغم نفسي انني دائما القرار الصحيح اسير الطريق الصحيح,0,0,1,0,0
الحمد لله بنعمته تتم الصالحات نجاحاتنا العمل البيت الاسرة كله يتم بتوفيق تسديد الله سبحانه تعالى نسال الله سبحانه تعالى يرزقنا القوة الصبر الثبات انجاز مهامنا تادية مسؤولياتنا احسن وجه يجعلنا لبنة لبناء الوطن معولا يهدم بنى الاخرون فاللهم يارب فقنا عملنا اجعله عملا موفقا بارك عملنا اجعله عملا مباركا طيبا,1,0,1,1,1
مساري الدراسي مليئا بمشاعر افكار مختلفة اثرت سلبيا ايجابيا شخصيتي القلق الثقة النفس الاستسلام المثابرة التشاؤم التفاؤل بصفة التجارب مررت خلال الدراسة كانت مصدر,0,0,1,1,0
مكنتني الجامعة معرفة شخصيتي بشكل ادق تطويرها لعبت البيئة الجامعية دور اكتسابي مهارات التواصل لازال المقاربات المعتمدة البيداغوجية اثر سلبي صحة الطلبة سواء البدنية النفسية يجب اعادة النظر علاقة الاستاذ الطالب امر حاليا بظروف متوترة الشيء احاول جاهدة يؤثر التوتر مزاجي اليومي الله المستعان,1,0,1,0,0
الجامعة المرحلة الاطول الاكثر اهمية انها الاعوام تقرر مصير حياتك تتعرف اصدقاء العمر هته المرحلة اكتسبت الكثير المعارف الاصدقاء الجدد اني افتقدت الاونة الاخرة الى العزيمة شغف الدراسة اصبحت هته الاعوام تنتهي قلقي يزيد يوما يوم,0,1,1,0,0
كنت اعمل كموظفة براتب جيد جدا افتتحت مشروع بهدف تحقيق الحرية المالية سنة باذن الله زوجي يساندني بشدة اقدر عكس الدي رفضا الفكرة بادئ الامر المشروع يحتاج الكثير الصبر المثابرة احيانا احس بالحوية اعمل بجد لتنزيل افكار جديدة احيانا نادرا اصيب بالخيبة اتمنى اعمل عملا بمدخول قار,0,1,0,0,1
العطلة الربيعية سعيدة جدا بتواجدي اسرتي الصغيرة الكبيرة خصوصا مر وقت طويل اجتماعنا اخر بسبب ظروف الحجر الصحي سببه كرونا احس الايام تمضي بسرعة كبيرة نعيش الجو الاسري الملئ بالمشاعر الطيبة الاطفال مبتهجون يلعبون بعضهم البعض,1,0,1,0,0
اؤمن شخصيتي تغيرت سنين الدراسة الزواج اصبحت اكثر نضجا اتفهم اختلاف جهات النظر اعفي الاخرين جدالات عقيمة تفيدني تفيدهم كنتاظن نفسي قوية الشخصية انني متاكدة,1,1,1,0,0
نفسي معجزة معجزات الله فتاة اجتمع تفرق الناس علمية التخصص ادبية التعبير فصيحة اللسان طليقة اللسان عميقة الافكار احب فكرة يرزقني الله عديدا المواهب دفعة واحدة يخلق روحي دوما الشغف الرغبة لانجاز مهام عديدة خلق فرص جديدة احب نمط شخصيتي اسال الله يجعله نافعا للناس,1,1,0,0,1
احس بالتردد بشكل كبيير حياتي القرارات بسرعة اكون صارمة ماةتخذت قرارا اقتنعت بموقف فكرة مايجعل الملفات مفتوحة عقلي قلبي اقدر اتخاذ المواقف القاطعة مررت تجربة طلاق نرجسي تعافيت الحمد لله الى ابعد الحدود بفضل الله تعالى الدي المجهود البحث التعافي النفسي الذاتي,1,1,0,0,0
رغم حبي تعلقي بالكتابة الامر صعب حينما يتعلق بالحديث نفسي يومياتي تجاربي ساختار التعبير نفسي بهذا الثنائي الجميل يجعل حياتي سعيدة مريحة التسامح الحب يمكنني الاستمرار دونهما,0,0,1,0,0
تخونني الافكار بالاحرى النوع يكتب ضروف زمنية معينة المزاج لحظة استلهام حاليا لدي حاليا اقوله اظن الخانة ضرورية راي الخاص,1,1,0,0,0
تمنيت اتممت الجامعة لكني بتخصص الحالي انني حصلت علي الماجستير تفوقت ثابرت اكثر مرحلة الجامعة بالاحرى انعكاس اخفاقي بجامعة العلوم اكثر علي بشكل سلبي بشدة فقدت حينها ثقتي بنفسي بقدراتي اشتغلت بمفهوم عبودي ادى الى تدني اكبر بثقتي تقديري لنفسي حاليا حصلت علي ديبلوم متخصص بمرحلة السطاج احاول القن نفسي الحب الثقة التقدير احصل علي عمل خلاصتي سنة اهم شئ يجب يبنى الفرد تقديره لنفسه حبه لنفسه ثقته بنفسه اعطاء ذاته انواع الاهتمام المراعاة شكرا,1,1,1,1,1
كنت انسانة منجزة فعالة نشيطة تفعل اشياء كثيرة تكتشف العالم الزواج حرمت استمتع بتربية ابني رعاية بيتي رغم الندم احيانا اومن دوري الحياة ينتابني الرغبة الانجاز خارج البيت هومحض تاثر بالتيار الغربي,0,1,0,0,0
اشعر بالالم لحال خالتي احس بالعجز حيال تمر رغم انني يمكنني مساعدتها الداي الله عونها الوقت ادري اتصرف لاساعدها اسال الله يوفقنا خيري خيرها,0,1,1,0,0
مرت ايام كثيرة اشعر بسعادة فرح اتذكره اني كدت انسى طعم السعادة الابتهاج لكني متفائلة الاقل شيئا سيتغير المستقبل يغلبني طموحي ايماني الكثير الاشياء الجميلة انتظاري دمت استسلم,0,1,0,0,0
اعتبر نفسي شخصا مر بظروف نفسية اجتماعية صعبة نوعا ساهمت قوقعته قلة ثقة بنفسه لكني اشتغلت نفسي طورتها فاستعدت جزءا كبيرا ثقتي بنفسي تفوقت اثبات ذاتي المستوى الشخصي المهني حافظت سماتي الاساسية الطيبة التسامح نفسي حولي تجاوزت الماضي اساء الي اعتبر اني اعيش سلام داخلي اعية بنواقصي شخصيتي لازلت اعمل عليها متصالحة نفسي الى حد كبير,0,0,1,1,1
مررت باسبوع شاق مرهق بكل معنى الكلمة مليء بمشاعر الاستياء الاحباط نجني للاسف رغم نقدم تضحيات الله المستعان اعلم بحالنا يجول خواطرنا نساله ينير دربنا يلهمنا رشدنا,0,1,0,0,0
لمن دواعي سروري اقضي العطلة اولادي عائلتي اسبوعا للراحة اعادة ترتيب الاوراق حيت استراحة الصيف الماضي اتمنى اعيد الاستراحة اقرب الاجال,1,1,0,0,1
تجربتي الجامعة كانت جميلة رغم التعب احسست انني درست بالجامعة لانه حلم كونت صداقات امتدت ليومنا عدت للجامعة اهري الايان احس بنشاط مزاج معتدل خصوصا عندما يثني شخص علي طريقة كتابتي للمحاضرات مثلا,0,1,0,1,0
اسبوع مليء بالاحداث متعب احس بان ساعات اليوم تكفيني العمل الالتزامات المنزلية الدراسة فهي اجمل مراحل الحياة با تتكرر افكر بجدية المستوى التعليمي الماضي يفوق بكثير المستوى الحالي,0,1,0,0,1
حاليا اعيش صراعا داخليا لعلها فترة تمر بسلام مشاعري ممزقة اجد متعة عملي لاني اقوم بحب يجعلني اقضي يومي بحيوية ابتسامة دراستي بالجامعة اكن مجدة يكفي,1,1,1,0,1
التحاقي بالجامعة كاستاذ التدريس الى ازاول مهمة التدريس التاطير البحث زملائي الاساتذة الطلبة بكل حب اخلاص اريحية جدية التزام طموح لقد منحتني تجربة التدريس داخل المدرجات تجربة البحث داخل المختبرات تجربة تاطير التداريب بالمؤسسات الاج تمكينا ذاتيا اجتماعيا بذلك فانا جد فخور معتز بانتمائي للمؤسسة الجامعية اشعر بالرضى عملي اشتغل زملائي مشروع طموح البحث العلمي,1,0,1,1,1
لدي الكثير الاعمال لاقوم احس انني مترددة اسوف اماطل اعرف الاحساس طبيعيا نتيجة التراكمات الضغوط كسل استجابة لوساوس الشيطان,0,1,1,0,0
